,course_title,course_unit,equivalent_courses,instructors,notes
PHIL 22709,Introduction to Quantum Mechanics,100,,T. Pashby,
PHIL 22960,Bayesian Epistemology,100,PHIL 32960,A. Vasudevan,"Undergrads enroll in sections 01, 02, 03 & 04. Graduates enroll in section 05."
PHIL 23005,Metaphysics and Ethics of Death,100,PHIL 33005,B. Callard,Students should register via discussion section. Undergrads should enroll in sections 01-04; Grad students enroll in 05.
PHIL 23205,Introduction to Phenomenology,100,,R. Moati,Students should register via discussion section.
PHIL 23307,The Philosophy of Play and Games,100,,D. Egan,
PHIL 24301,Science and Aesthetics in the Eighteenth to the Twenty-First Centuries,100,"CHSS 35506,HIPS 25506,HIST 35506,PHIL 34301,SIGN 26003,HIST 25506",R. Richards,
PHIL 24800,Foucault and The History of Sexuality,100,"CMLT 25001,FNDL 22001,GNSE 23100,HIPS 24300,KNOW 27002",A. Davidson,One prior philosophy course is strongly recommended. Students should register via discussion section.
PHIL 25000,History of Philosophy I: Ancient Philosophy,100,CLCV 22700,G. Lear,Students should register via discussion section.
PHIL 25101,Aquinas on Human nature,100,PHIL 35101,S. Brock; C. Vogler,Undergrads enroll in sections 01 and 02. Graduates enroll in section 03.
PHIL 25200,"Intensive History of Philosophy, Part I: Plato",100,,A. Callard,"This course, together with introduction to Aristotle (26200) in the Spring quarter, substitutes for and fulfills the Ancient Philosophy History requirement for the Autumn quarter. Students can take these courses instead of taking PHIL 25000. Students must take them as a 2 quarter sequence in order to fulfill the requirement, but students who already have fulfilled or do not need to fulfill the Ancient Philosophy History requirement may take the one quarter of the course without the other."
PHIL 26000,History of Philosophy II: Medieval and Early Modern Philosophy,100,HIPS 26000,B. Callard,Students should register via discussion section.
PHIL 26200,"Intensive History of Philosophy, Part II: Aristotle",100,,A. Callard,"This course, together with PHIL 25200 Intensive History of Philosophy, Part I: Plato in the Winter Quarter, substitutes for and fulfills the Ancient Philosophy History requirement for the Autumn Quarter. Students can take these courses instead of taking PHIL 25000 History of Philosophy I: Ancient Philosophy. Students must take them as a two-quarter sequence in order to fulfill the requirement, but students who already have fulfilled or do not need to fulfill the Ancient Philosophy History requirement may take one quarter of the course without the other."
PHIL 27000,History of Philosophy III: Nineteenth Century Philosophy,100,,M. Boyle,Students should register via discussion section.
PHIL 27201,Spinoza,100,FNDL 27201,A. Silverman,
PHIL 27202,Introduction to Spinoza’s Ethics,100,"PHIL 37202,SCTH 30105",I. Kimhi,Introduction to Spinoza’s Ethics is for advanced undergraduate students with background in philosophy and for graduate students.
PHIL 28203,Hegel’s Philosophy of Right,100,"PHIL 38203,FNDL 28204,SCTH 38004",R. Pippin,Undergrads enroll in sections 01 & 02. Graduates enroll in section 03.
PHIL 28210,Psychoanalysis and Philosophy,100,"PHIL 38209,SCTH 37501,HIPS 28101",J. Lear,
PHIL 29200,Junior Tutorial,100,,J. Mendelsohn; A. Pitel; T. Schulte; D. Telech,Junior and senior sections meet together. No more than two tutorials may be used to meet program requirements.
PHIL 29300,Senior Tutorial,100,,J. Mendelsohn; A. Pitel; T. Schulte; D. Telech,Junior and senior sections meet together. No more than two tutorials may be used to meet program requirements.
PHIL 29400,Intermediate Logic,100,"CHSS 33600,HIPS 20500,PHIL 39600",A. Vasudevan,Undergrads enroll in sections 01 & 02. Graduates enroll in section 03.
PHIL 29405,Advanced Logic,100,"CHSS 39405,PHIL 39405,HIPS 20905",K. Davey,
PHIL 29411,Consequentialism from Bentham to Singer,100,"MAPH 39411,PLSC 29411",B. Schultz,Course is open to undergraduates and MAPH students.
PHIL 29425,Logic for Philosophy,100,PHIL 39425,M. Willer,Undergrads enroll in sections 01 & 02. Graduates enroll in section 03.
PHIL 29601,Intensive Track Seminar,100,,J. Bridges,
PHIL 29700,Reading and Research,100,,Staff,
PHIL 29901,Senior Seminar I,100,,A. Ford,Required and only open to fourth-year students who have been accepted into the BA essay program.
PHIL 29902,Senior Seminar II,100,,A. Ford,Required and only open to fourth-year students who have been accepted into the BA essay program.
GNSE 10310,Theories of Gender and Sexuality,100,ENGL 10310,"L. Berlant, K. Schilt",
GNSE 11002,Medieval Masculinity,100,,J. Lyon,
GNSE 15002,Gender and Sexuality in World Civilizations I,100,,Staff,This sequence meets the general education requirement in civilization studies.
GNSE 15003,Gender and Sexuality in World Civilizations II,100,,Staff,This sequence meets the general education requirement in civilization studies.
GNSE 20170,The Sociology of Deviant Behavior,100,SOCI 20175,K. Schilt,
GNSE 21001,Cultural Psychology: Philosophical and Theoretical Foundations,100,"AMER 33000,ANTH 24320,ANTH 35110,CHDV 31000,GNSE 31000,PSYC 23000,PSYC 33000,CHDV 21000",R. Shweder,"CHDV Distribution, B*, C*; 2*, 3*"
GNSE 21400,Advanced Theories of Sex/Gender,100,,L. Berlant,
GNSE 21500,Darwinian Health,100,"HIPS 22401,CHDV 21500",J. Mateo,"CHDV Distribution, A*"
GNSE 22904,Theories of Sexual Violence in American Culture,100,,M. Dango,
GNSE 22905,Gendering Privacy,100,,C. Hughes,
GNSE 23100,Foucault and The History of Sexuality,100,"CMLT 25001,FNDL 22001,HIPS 24300,KNOW 27002,PHIL 24800",A. Davidson,One prior philosophy course is strongly recommended. Students should register via discussion section.
GNSE 23103,"Women Possessed: Religion, Gender & Sexuality in Early America",100,,"A. Davis, K. Krywokulski",
GNSE 23104,"Gender, Sexuality, and Islamic Traditions",100,,"T. Gutmann, M. Sheibani",
GNSE 23603,"Grace, Love, and Pleasure. Painting in Eighteenth Century France",100,"ARTH 33603,FREN 26303,FREN 36303,GNSE 33603,ARTH 23603",S. Caviglia-Brunel,Students who take this course for French credit must do the readings and assignments in French.
GNSE 27702,Gender in the Balkans through Literature and Film,100,,A. Ilieva,
GNSE 28604,Law and Social Movements in Modern America,100,"HIST 28604,HMRT 28604,LLSO 28604",J. Dailey,
GNSE 29600,Feminist Philosophy,100,"HMRT 31900,LAWS 47701,PLSC 51900,RETH 41000,PHIL 21901,PHIL 31900",M. Nussbaum,
GNSE 29700,Readings in Gender Studies,100,,,"Students are required to submit the College Reading and Research Course Form. May be taken for P/F grading with consent of instructor. With prior approval, students who are majoring in Gender Studies may use this course to satisfy program requirements."
GNSE 29800,BA Seminar,100,,,May be taken for P/F grading with consent of instructor.
GNSE 29900,BA Essay,100,,,Students are required to submit the College Reading and Research Course Form signed by the faculty BA essay reader.
GNSE 50101,Law-Philosophy Workshop,100,"LAWS 61512,RETH 51301,HMRT 51301,PLSC 51512,PHIL 51200","M. Nussbaum, B. Leiter, M. Etchemendy",Students must enroll for all three quarters.
CATA 11100,Accelerated Catalan I,100,,A. Girons,
CATA 11200,Accelerated Catalan II,100,,A. Girons,
CATA 21100,"Català avançat: Llengua, societat i cultura",100,,A. Girons,
CATA 21600,"Catalan Culture and Society: Art, Music, and Cinema",100,SPAN 21610,A. Girons,
CATA 21900,Contemporary Catalan Literature,100,"CATA 31900,SPAN 21910,SPAN 31910",A. Girons,Taught in English.
CATA 22900,Catalan Avant-Garde Theater,100,"CATA 32900,SPAN 22900,SPAN 32900",N. Perpinyà,Catalan texts will be provided translated into English or Spanish. Classes will be conducted in Spanish and English.
CATA 29700,Readings in Special Topics,100,,,Students are required to submit the College Reading and Research Course Form.
FREN 10100,Beginning Elementary French I,100,,,Must be taken for a quality grade
FREN 10123,Summer Intensive Elementary French,100,,,Successfully completing this course will fulfill the College language competency requirement.
FREN 10200,Beginning Elementary French II,100,,,Must be taken for a quality grade.
FREN 10300,Beginning Elementary French III,100,,,Must be taken for a quality grade.
FREN 20100,"Language, History, and Culture I",100,,,Must be taken for a quality grade.
FREN 20200,"Language, History, and Culture II",100,,,Must be taken for a quality grade.
FREN 20300,"Language, History, and Culture III",100,,,Must be taken for a quality grade.
FREN 20500,Ecrire en français,100,,,Must be taken for a quality grade
FREN 20601,Expression orale et phonétique,100,,,This course does not count toward major or minor requirements. Must be taken for a quality grade.
FREN 21503,Approches à l’analyse littéraire,100,FREN 31503,D. Delogu,
FREN 21740,Introduction à la poésie française du XXe siècle,100,,A. James,
FREN 23110,Pour une lecture sociologique de Rabelais,100,FREN 33110,P. Desan,
FREN 23333,Reading French for Research Purposes,100,FREN 33333,,
FREN 23711,Littérature et photographie,100,FREN 33711,A. James,
FREN 24017,Fact and Fiction: Hoaxes and Misunderstandings,100,"CMLT 24017,CMLT 34017,SCTH 34017,FREN 34017",Françoise Lavocat,
FREN 24410,Montaigne dans l’histoire littéraire: inventions/récupérations,100,"FREN 34410,FNDL 24410",P. Desan,
FREN 24516,La figure du héros : de Corneille à Sartre,100,,I. Faton,Taught in French.
FREN 25301,"Beautiful Souls, Adventurers, and Rogues. The European 18th Century Novel",100,"FREN 35301,CMLT 24401,CMLT 34401,SCTH 38240",T. Pavel,Taught in English. A weekly session in French will be held for French majors and graduate students.
FREN 29100,Pascal and Simone Weil,100,"CMLT 29101,CMLT 39101,FREN 39100,SCTH 38201,RLST 24910,FNDL 21812",T. Pavel,"Taught in English, with a special weekly session in French for students seeking French credit."
FREN 29616,Introduction à la littérature française des XVIIe et XVIIIe,100,,J. Perrier-Chartrand,Taught in French.
FREN 29700,Readings in Special Topics,100,,,Students are required to submit the College Reading and Research Course Form.
FREN 29900,BA Paper Preparation: French,100,,,Students are required to submit the College Reading and Research Course Form. Must be taken for a quality grade.
ITAL 10100,Beginning Elementary Italian I,100,,,Must be taken for a quality grade.
ITAL 10123,Intensive Elementary Italian,100,,Staff,Successfully completing this course will fulfill the College language competency requirement.
ITAL 10200,Beginning Elementary Italian II,100,,,Must be taken for a quality grade.
ITAL 10300,Beginning Elementary Italian III,100,,,Must be taken for a quality grade.
ITAL 12200,Italian for Speakers of Romance Languages,100,,,
ITAL 20100,"Language, History, and Culture I",100,,,Must be taken for a quality grade.
ITAL 20200,"Language, History, and Culture II",100,,,Must be taken for a quality grade.
ITAL 20300,"Language, History, and Culture III",100,,,Must be taken for a quality grade.
ITAL 20400,Corso di perfezionamento,100,,,Must be taken for a quality grade.
ITAL 21100,"Le regioni italiane: lingua, dialetti, tradizioni",100,,,Must be taken for a quality grade.
ITAL 22210,Italian Renaissance Epic,100,ITAL 32210,A. Maggi,
ITAL 22600,The Making and Unmaking of Petrarch's Canzoniere,100,"ITAL 32600,REMS 32600,FNDL 22601",J. Steinberg,Taught in English.
ITAL 22914,The Italian Renaissance,100,"HIST 32900,CLCV 22914,CLAS 32914,ITAL 32914,HCHR 32900,HIST 22900",A. Palmer,
ITAL 23000,Machiavelli and Machiavellism,100,"CMLT 25801,FNDL 21603,LLSO 21603,CMLT 35801",R. Rubini,Course conducted in English. Those seeking Italian credit will do all work in Italian.
ITAL 23410,Reading and Practice of the Short Story,100,,M.A. Mariani,Taught in Italian.
ITAL 26000,Gramsci,100,"FNDL 26206,ITAL 36000,REMS 36000",R. Rubini,Language to be determined by class makeup
ITAL 26200,Renaissance and Baroque Fairytales and Their Modern Rewritings,100,"ITAL 36200,CMLT 26700,CMLT 36700,REMS 36200",A. Maggi,Class conducted in English.
ITAL 29700,Readings in Special Topics,100,,,Students are required to submit the College Reading and Research Course Form.
ITAL 29900,BA Paper Preparation: Italian,100,,,Students are required to submit the College Reading and Research Course Form. Must be taken for a quality grade.
PORT 10100,Beginning Elementary Portuguese I,100,,,Must be taken for a quality grade.
PORT 10200,Beginning Elementary Portuguese II,100,,,Must be taken for a quality grade.
PORT 10300,Beginning Elementary Portuguese III,100,,,Successful completion of PORT 10300 fulfills the competency requirement. Must be taken for a quality grade.
PORT 12200,Portuguese for Spanish Speakers,100,LACS 12200,,Must be taken for a quality grade.
PORT 13100,Accelerated Portuguese for Speakers of Romance Languages I,100,,,
PORT 13200,Accelerated Portuguese for Speakers of Romance Languages II,100,,,
PORT 14100,Portuguese for Romance Language Speakers,100,,,
PORT 20100,Intermediate Portuguese,100,,,Must be taken for a quality grade.
PORT 20200,Advanced Portuguese,100,,,Must be taken for a quality grade.
PORT 21500,Curso de Aperfeiçoamento,100,,,Must be taken for a quality grade.
PORT 21903,Brazilian Theater and Film,100,LACS 21905,V. Saramago,"Taught in English, with readings available in Portuguese and English."
PORT 26810,Brazilian Avant-Gardes,100,"PORT 36810,LACS 26810,LACS 36810",V. Saramago,"Taught in English, with readings available in Portuguese and English."
PORT 29700,Readings in Special Topics,100,,,Students are required to submit the College Reading and Research Course Form.
SOSC 27501,Civilisation Européenne I,100,,,
SOSC 27601,Civilisation Européenne II,100,,,
SOSC 27701,Civilisation Européenne III,100,,,
SPAN 10100,Beginning Elementary Spanish I,100,,,Must be taken for a quality grade.
SPAN 10123,Summer Intensive Elementary Spanish,100,,,Successfully completing this course will fulfill the College language competency requirement.
SPAN 10200,Beginning Elementary Spanish II,100,,,Must be taken for a quality grade.
SPAN 10300,Beginning Elementary Spanish III,100,,,Must be taken for a quality grade.
SPAN 20100,"Language, History, and Culture I",100,,,Must be taken for a quality grade.
SPAN 20200,"Language, History, and Culture II",100,,,Must be taken for a quality grade.
SPAN 20300,"Language, History, and Culture III",100,,,Must be taken for a quality grade.
SPAN 20303,Curso de composición y de conversación para hablantes nativos,100,,Staff,"This course is designed for students who have a personal, familial, or community connection to Spanish but who have received the majority of their formal education in English and may have little experience using Spanish in formal settings. Must be taken for a quality grade."
SPAN 20400,Composición y conversación avanzada I,100,,,Must be taken for a quality grade.
SPAN 20402,Curso de redacción académica para hablantes nativos,100,,,Must be taken for a quality grade.
SPAN 20500,Composición y conversación avanzada II,100,,,Must be taken for a quality grade.
SPAN 20602,Discurso académico para hablantes nativos,100,,,Must be taken for a quality grade
SPAN 21100,Las regiones del español,100,LACS 21100,,Must be taken for a quality grade.
SPAN 21500,Introducción al análisis literario,100,,M. Martinez,
SPAN 21703,Introducción a las literaturas hispánicas: textos españoles clásicos,100,,F. de Armas,
SPAN 21803,Introducción a las literaturas hispánicas: textos españoles contemporáneos,100,,M. Martínez,
SPAN 21903,Introducción a las literaturas hispánicas: textos hispanoamericanos desde la colonia a la independencia,100,"CRES 21903,LACS 21903",L. Brewer-García,
SPAN 21910,Contemporary Catalan Literature,100,"CATA 31900,SPAN 31910,CATA 21900",A. Girons,Taught in English.
SPAN 22003,Introducción a las literaturas hispánicas: del Modernismo al presente,100,LACS 22003,,
